x,y,z,ley,antes_max,Period,valor,valor_acum
24265,24625,3005,0.5,0,0.0,-8656.949249999996,-8656.949249999996
24265,24625,3015,0.49,0,0.0,-10427.810265000013,-19084.75951500001
24265,24625,3025,0.48,0,0.0,-12198.67128000001,-31283.43079500002
24265,24625,3035,0.47,0,0.0,-13969.532295000017,-45252.963090000034
24265,24625,3045,0.48,0,0.0,-12198.67128000001,-57451.63437000004
24265,24625,3055,0.49,0,1.0,-9310.544879464296,-66762.17924946435
24265,24625,3065,0.51,0,1.0,-6148.293066964285,-72910.47231642863
24265,24625,3075,0.52,0,1.0,-4567.167160714287,-77477.63947714292
24265,24625,3085,0.53,0,1.0,-2986.0412544642904,-80463.68073160721
24265,24625,3095,0.53,0,1.0,-2986.0412544642904,-83449.7219860715
24265,24625,3105,0.53,0,1.0,-2986.0412544642904,-86435.76324053579
24265,24625,3115,0.53,0,1.0,-2986.0412544642904,-89421.80449500008
24265,24625,3125,0.55,0,1.0,176.21055803572094,-89245.59393696436
24265,24625,3135,0.55,0,2.0,157.33085538903654,-89088.26308157532
24265,24625,3145,0.56,0,2.0,1569.0504145408195,-87519.2126670345
24265,24625,3155,0.56,0,2.0,1569.0504145408195,-85950.16225249368
24265,24625,3165,0.56,0,2.0,1569.0504145408195,-84381.11183795286
24265,24625,3175,0.56,0,2.0,1569.0504145408195,-82812.06142341204
24265,24625,3185,0.53,0,2.0,-2666.108262914545,-85478.16968632658
24265,24625,3195,0.55,0,2.0,157.33085538903654,-85320.83883093754
24265,24625,3205,0.57,0,2.0,2980.769973692603,-82340.06885724494
24265,24625,3215,0.57,0,2.0,2980.769973692603,-79359.29888355234
24265,24625,3225,0.57,0,2.0,2980.769973692603,-76378.52890985974
24265,24625,3235,0.51,0,2.0,-5489.547381218111,-81868.07629107786
24265,24625,3245,0.51,0,2.0,-5489.547381218111,-87357.62367229597
24265,24625,3255,0.49,0,2.0,-8312.986499521692,-95670.61017181767
24265,24625,3265,0.5,0,2.0,-6901.266940369894,-102571.87711218756
24265,24625,3275,0.47,0,3.0,-9943.23715877256,-112515.11427096013
24265,24625,3285,0.47,0,3.0,-9943.23715877256,-122458.35142973269
24265,24625,3295,0.42,0,3.0,-16245.556619271596,-138703.9080490043
24265,24635,3005,0.46,0,0.0,-15740.393310000003,-15740.393310000003
24265,24635,3015,0.46,0,0.0,-15740.393310000003,-31480.786620000006
24265,24635,3025,0.46,0,0.0,-15740.393310000003,-47221.17993000001
24265,24635,3035,0.47,0,0.0,-13969.532295000017,-61190.71222500003
24265,24635,3045,0.48,0,0.0,-12198.67128000001,-73389.38350500003
24265,24635,3055,0.51,0,1.0,-6148.293066964285,-79537.67657196432
24265,24635,3065,0.53,0,1.0,-2986.0412544642904,-82523.7178264286
24265,24635,3075,0.53,0,1.0,-2986.0412544642904,-85509.7590808929
24265,24635,3085,0.52,0,1.0,-4567.167160714287,-90076.92624160719
24265,24635,3095,0.52,0,1.0,-4567.167160714287,-94644.09340232148
24265,24635,3105,0.51,0,1.0,-6148.293066964285,-100792.38646928576
24265,24635,3115,0.51,0,1.0,-6148.293066964285,-106940.67953625004
24265,24635,3125,0.5,0,1.0,-7729.418973214281,-114670.09850946433
24265,24635,3135,0.5,0,2.0,-6901.266940369894,-121571.36544983422
24265,24635,3145,0.5,0,2.0,-6901.266940369894,-128472.63239020412
24265,24635,3155,0.49,0,2.0,-8312.986499521692,-136785.61888972583
24265,24635,3165,0.55,0,2.0,157.33085538903654,-136628.2880343368
24265,24635,3175,0.55,0,2.0,157.33085538903654,-136470.95717894775
24265,24635,3185,0.53,0,2.0,-2666.108262914545,-139137.0654418623
24265,24635,3195,0.57,0,2.0,2980.769973692603,-136156.2954681697
24265,24635,3205,0.6,0,2.0,7215.928651147968,-128940.36681702173
24265,24635,3215,0.59,0,2.0,5804.209091996169,-123136.15772502557
24265,24635,3225,0.52,0,2.0,-4077.827822066328,-127213.9855470919
24265,24635,3235,0.51,0,2.0,-5489.547381218111,-132703.53292831
24265,24635,3245,0.51,0,2.0,-5489.547381218111,-138193.08030952813
24265,24635,3255,0.49,0,2.0,-8312.986499521692,-146506.0668090498
24265,24635,3265,0.51,0,2.0,-5489.547381218111,-151995.61419026792
24265,24635,3275,0.47,0,3.0,-9943.23715877256,-161938.8513490405
24265,24635,3285,0.47,0,3.0,-9943.23715877256,-171882.08850781305
24265,24635,3295,0.41,0,3.0,-17506.020511371407,-189388.10901918446
24265,24645,3005,0.46,0,0.0,-15740.393310000003,-15740.393310000003
24265,24645,3015,0.46,0,0.0,-15740.393310000003,-31480.786620000006
24265,24645,3025,0.46,0,0.0,-15740.393310000003,-47221.17993000001
24265,24645,3035,0.48,0,0.0,-12198.67128000001,-59419.85121000002
24265,24645,3045,0.5,0,0.0,-8656.949249999996,-68076.80046000001
24265,24645,3055,0.53,0,1.0,-2986.0412544642904,-71062.8417144643
24265,24645,3065,0.55,0,1.0,176.21055803572094,-70886.63115642859
24265,24645,3075,0.53,0,1.0,-2986.0412544642904,-73872.67241089288
