x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24565,3385,0.4,0,5.0,-19082.310646937924,-270826.00827191136
24255,24565,3395,0.36,0,5.0,-23377.083599605085,-294203.09187151643
24255,24565,3405,0.37,0,5.0,-22303.390361438298,-316506.4822329547
24255,24565,3415,0.32,0,5.0,-27671.856552272264,-344178.338785227
24255,24565,3425,0.32,0,5.0,-27671.856552272264,-371850.19533749926
24255,24565,3435,0.33,0,5.0,-26598.163314105466,-398448.35865160474
24255,24565,3445,0.33,0,5.0,-26598.163314105466,-425046.5219657102
24255,24565,3455,0.34,0,5.0,-25524.470075938672,-450570.9920416489
24255,24565,3465,0.36,0,5.0,-23377.083599605085,-473948.07564125396
24255,24565,3475,0.36,0,5.0,-23377.083599605085,-497325.15924085904
24255,24575,3085,0.54,0,0.0,-6523.540362000009,-6523.540362000009
24255,24575,3095,0.55,0,0.0,-4794.346664999985,-11317.887026999993
24255,24575,3105,0.58,0,0.0,393.2344259999951,-10924.652600999998
24255,24575,3115,0.6,0,0.0,3851.6218200000067,-7073.030780999991
24255,24575,3125,0.58,0,1.0,357.48584181817733,-6715.544939181814
24255,24575,3135,0.56,0,1.0,-2786.502698181816,-9502.04763736363
24255,24575,3145,0.56,0,1.0,-2786.502698181816,-12288.550335545446
24255,24575,3155,0.56,0,1.0,-2786.502698181816,-15075.053033727261
24255,24575,3165,0.54,0,1.0,-5930.491238181826,-21005.544271909086
24255,24575,3175,0.52,0,2.0,-8249.527071074379,-29255.071342983465
24255,24575,3185,0.52,0,2.0,-8249.527071074379,-37504.598414057844
24255,24575,3195,0.52,0,2.0,-8249.527071074379,-45754.12548513222
24255,24575,3205,0.52,0,2.0,-8249.527071074379,-54003.6525562066
24255,24575,3215,0.52,0,2.0,-8249.527071074379,-62253.17962728098
24255,24575,3225,0.52,0,2.0,-8249.527071074379,-70502.70669835535
24255,24575,3235,0.52,0,3.0,-7499.570064613072,-78002.27676296842
24255,24575,3245,0.54,0,3.0,-4901.232428249442,-82903.50919121786
24255,24575,3255,0.52,0,3.0,-7499.570064613072,-90403.07925583093
24255,24575,3265,0.52,0,3.0,-7499.570064613072,-97902.649320444
24255,24575,3275,0.51,0,3.0,-8798.738882794894,-106701.3882032389
24255,24575,3285,0.52,0,3.0,-7499.570064613072,-114200.95826785197
24255,24575,3295,0.53,0,3.0,-6200.40124643125,-120401.35951428322
